YEAR,ORIGIN,airport_delay,total_delay,delay_share,rank
2003,ORD,3759403.0,4.2901321E7,0.08762907323995921,1
2003,ATL,3095590.0,4.2901321E7,0.07215605319006377,2
2003,DFW,2296573.0,4.2901321E7,0.053531521791601706,3
2003,EWR,1291978.0,4.2901321E7,0.03011510997528491,4
2003,PHL,1112652.0,4.2901321E7,0.02593514544691992,5
2003,PHX,1054536.0,4.2901321E7,0.024580501845152973,6
2003,LAX,964720.0,4.2901321E7,0.022486953257220214,7
2003,DTW,939905.0,4.2901321E7,0.021908532839816284,8
2003,LAS,932683.0,4.2901321E7,0.0217401930350816,9
2003,IAD,917039.0,4.2901321E7,0.021375542258943496,10
2004,ORD,5496568.0,6.3174369E7,0.08700629839294477,1
2004,ATL,4692905.0,6.3174369E7,0.07428495249394576,2
2004,DFW,3245381.0,6.3174369E7,0.051371799218129115,3
2004,EWR,1808884.0,6.3174369E7,0.028633194579276287,4
2004,CVG,1692942.0,6.3174369E7,0.02679792496225803,5
2004,PHL,1682653.0,6.3174369E7,0.026635058278144417,6
2004,LAS,1584065.0,6.3174369E7,0.025074488674354627,7
2004,IAH,1458074.0,6.3174369E7,0.023080151382279736,8
2004,LAX,1454070.0,6.3174369E7,0.023016771247845784,9
2004,PHX,1387900.0,6.3174369E7,0.021969352792427576,10
2005,ATL,5760640.0,6.7539621E7,0.0852927498660379,1
2005,ORD,4569164.0,6.7539621E7,0.06765160852768184,2
2005,DFW,3057420.0,6.7539621E7,0.045268539484401314,3
2005,EWR,2161935.0,6.7539621E7,0.032009877579857904,4
2005,PHL,1813424.0,6.7539621E7,0.026849780516239496,5
2005,DEN,1665989.0,6.7539621E7,0.02466683963180664,6
2005,LAX,1608963.0,6.7539621E7,0.02382250560748631,7
2005,LAS,1607378.0,6.7539621E7,0.023799037901027012,8
2005,IAH,1538940.0,6.7539621E7,0.022785736390199762,9
2005,DTW,1532804.0,6.7539621E7,0.022694886013648195,10
2013,ORD,4879350.0,6.5650797E7,0.07432278392598951,1
2013,ATL,3850888.0,6.5650797E7,0.05865714014104048,2
2013,DFW,3466365.0,6.5650797E7,0.05280004445338265,3
2013,DEN,2994777.0,6.5650797E7,0.045616765322742385,4
2013,SFO,1967150.0,6.5650797E7,0.029963840347589383,5
2013,LAX,1961832.0,6.5650797E7,0.02988283599969091,6
2013,IAH,1918644.0,6.5650797E7,0.029224991739247277,7
2013,EWR,1795980.0,6.5650797E7,0.02735656049994336,8
2013,DTW,1550724.0,6.5650797E7,0.02362079473307841,9
2013,CLT,1446824.0,6.5650797E7,0.022038178759657707,10
2014,ORD,4734916.0,6.4121529E7,0.0738428430176704,1
2014,DFW,3558858.0,6.4121529E7,0.05550176446977738,2
2014,ATL,3301824.0,6.4121529E7,0.051493220007277116,3
2014,DEN,3122559.0,6.4121529E7,0.048697513123868275,4
2014,LAX,2203936.0,6.4121529E7,0.03437123278828862,5
2014,SFO,2097544.0,6.4121529E7,0.032712008473784214,6
2014,IAH,2032342.0,6.4121529E7,0.03169515811140436,7
2014,LAS,1534042.0,6.4121529E7,0.0239239772339178,8
2014,EWR,1532978.0,6.4121529E7,0.023907383743141872,9
2014,PHX,1520943.0,6.4121529E7,0.02371969327181827,10
2015,ORD,3998569.0,5.62972E7,0.07102607234462815,1
2015,ATL,3143840.0,5.62972E7,0.055843629878573005,2
2015,DFW,2869434.0,5.62972E7,0.05096939101767051,3
2015,DEN,2370237.0,5.62972E7,0.042102218227549504,4
2015,LAX,2116900.0,5.62972E7,0.03760222533269861,5
2015,IAH,1745386.0,5.62972E7,0.03100306942441187,6
2015,SFO,1707959.0,5.62972E7,0.03033825838585223,7
2015,LAS,1499461.0,5.62972E7,0.026634734942412766,8
2015,MCO,1377862.0,5.62972E7,0.024474787378413135,9
2015,LGA,1365297.0,5.62972E7,0.024251596882260574,10
2023,DEN,3998165.0,7.6661209E7,0.05215369092339778,1
2023,DFW,3813492.0,7.6661209E7,0.049744741176727336,2
2023,ATL,3485515.0,7.6661209E7,0.04546647575046723,3
2023,ORD,2995866.0,7.6661209E7,0.03907929497955087,4
2023,MCO,2946639.0,7.6661209E7,0.038437157963423195,5
2023,LAS,2537583.0,7.6661209E7,0.03310126507396981,6
2023,CLT,2410614.0,7.6661209E7,0.031445029780315624,7
2023,BOS,1915186.0,7.6661209E7,0.02498246538219871,8
2023,EWR,1897084.0,7.6661209E7,0.024746335529354877,9
2023,LAX,1885811.0,7.6661209E7,0.024599285930906725,10
2024,DFW,5089761.0,8.3494005E7,0.06095959823702313,1
2024,ORD,3836493.0,8.3494005E7,0.04594932294839611,2
2024,DEN,3731053.0,8.3494005E7,0.044686477789632924,3
2024,ATL,3651788.0,8.3494005E7,0.04373712819261694,4
2024,CLT,3441934.0,8.3494005E7,0.041223726182496576,5
2024,MCO,2355630.0,8.3494005E7,0.028213163328313213,6
2024,LAS,2186103.0,8.3494005E7,0.026182754079170114,7
2024,PHX,1935629.0,8.3494005E7,0.02318285007408616,8
2024,LAX,1907746.0,8.3494005E7,0.022848897953811176,9
2024,LGA,1814014.0,8.3494005E7,0.021726278431607154,10
2025,DFW,4215958.0,6.7697963E7,0.062275994921737896,1
2025,DEN,3834597.0,6.7697963E7,0.05664272350410307,2
2025,ORD,3538869.0,6.7697963E7,0.05227437936352679,3
2025,ATL,3360229.0,6.7697963E7,0.049635599818564705,4
2025,CLT,2199774.0,6.7697963E7,0.03249394667901603,5
2025,MCO,1811942.0,6.7697963E7,0.02676508892889436,6
2025,DCA,1799747.0,6.7697963E7,0.026584950569339877,7
2025,LAS,1532384.0,6.7697963E7,0.022635599833336198,8
2025,PHX,1478137.0,6.7697963E7,0.02183429064180262,9
2025,BOS,1473123.0,6.7697963E7,0.021760226374905843,10
